plan	founder:finance		skill-founder-plan
plan	founder:financial-analysis	hard	skill-founder-plan
plan	founder:financial-analysis		skill-founder-plan
plan	founder	hard	skill-founder-plan
plan	founder:legal	hard	skill-founder-plan
plan	founder:legal		skill-founder-plan
plan	founder:market	hard	skill-founder-plan
plan	founder:market		skill-founder-plan
plan	founder:meeting	hard	skill-founder-plan
plan	founder:meeting		skill-founder-plan
plan	founder:project	hard	skill-founder-plan
plan	founder:project		skill-founder-plan
plan	founder:sheet	hard	skill-founder-plan
plan	founder:sheet		skill-founder-plan
plan	founder		skill-founder-plan
plan	founder:strategy	hard	skill-founder-plan
plan	founder:strategy		skill-founder-plan
plan	latex	hard	skill-planner-hard
plan	latex		skill-planner
plan	lean4	hard	skill-planner-hard
plan	lean4:lake	hard	skill-planner-hard
plan	lean4:lake		skill-planner
plan	lean4		skill-planner
plan	lean4:version	hard	skill-planner-hard
plan	lean4:version		skill-planner
plan	memory	hard	skill-planner-hard
plan	memory		skill-planner
plan	neovim	hard	skill-planner-hard
plan	neovim		skill-planner
plan	nix	hard	skill-planner-hard
plan	nix		skill-planner
plan	present:budget	hard	skill-planner-hard
plan	present:budget		skill-planner
plan	present:funds	hard	skill-planner-hard
plan	present:funds		skill-planner
plan	present:grant	hard	skill-planner-hard
plan	present:grant		skill-planner
plan	present	hard	skill-planner-hard
plan	present		skill-planner
plan	present:slides	hard	skill-slide-planning
plan	present:slides		skill-slide-planning
plan	present:timeline	hard	skill-planner-hard
plan	present:timeline		skill-planner
plan	pr	hard	skill-planner-hard
plan	pr		skill-planner
plan	python	hard	skill-planner-hard
plan	python		skill-planner
plan	slides	hard	skill-slide-planning
plan	slides		skill-slide-planning
plan	typst	hard	skill-planner-hard
plan	typst		skill-planner
plan	web	hard	skill-planner-hard
plan	web		skill-planner
plan	z3	hard	skill-planner-hard
plan	z3		skill-planner
research	cslib	hard	skill-cslib-research-hard
research	cslib		skill-cslib-research
research	email	hard	skill-researcher-hard
research	email		skill-researcher
research	epidemiology	hard	skill-epi-research
research	epidemiology		skill-epi-research
research	epi	hard	skill-epi-research
research	epi		skill-epi-research
research	epi:study	hard	skill-epi-research
research	epi:study		skill-epi-research
research	filetypes:document	hard	skill-filetypes
research	filetypes:document		skill-filetypes
research	filetypes:docx	hard	skill-docx-edit
research	filetypes:docx		skill-docx-edit
research	filetypes	hard	skill-filetypes
research	filetypes:presentation	hard	skill-presentation
research	filetypes:presentation		skill-presentation
research	filetypes:scrape	hard	skill-scrape
research	filetypes:scrape		skill-scrape
research	filetypes		skill-filetypes
research	filetypes:spreadsheet	hard	skill-filetypes-spreadsheet
research	filetypes:spreadsheet		skill-filetypes-spreadsheet
research	filetypes:xlsx	hard	skill-sheet
research	filetypes:xlsx		skill-sheet
research	formal	hard	skill-formal-research
research	formal:logic	hard	skill-logic-research
research	formal:logic		skill-logic-research
research	formal:math	hard	skill-math-research
research	formal:math		skill-math-research
research	formal:physics	hard	skill-physics-research
research	formal:physics		skill-physics-research
research	formal		skill-formal-research
research	founder:analyze	hard	skill-analyze
research	founder:analyze		skill-analyze
research	founder:consult	hard	skill-consult
research	founder:consult		skill-consult
research	founder:deck	hard	skill-deck-research
research	founder:deck		skill-deck-research
research	founder:finance	hard	skill-finance
research	founder:finance		skill-finance
research	founder:financial-analysis	hard	skill-financial-analysis
research	founder:financial-analysis		skill-financial-analysis
research	founder	hard	skill-market
research	founder:legal	hard	skill-legal
research	founder:legal		skill-legal
research	founder:market	hard	skill-market
research	founder:market		skill-market
research	founder:meeting	hard	skill-meeting
research	founder:meeting		skill-meeting
research	founder:project	hard	skill-project
research	founder:project		skill-project
research	founder:sheet	hard	skill-founder-spreadsheet
research	founder:sheet		skill-founder-spreadsheet
research	founder		skill-market
research	founder:strategy	hard	skill-strategy
research	founder:strategy		skill-strategy
research	latex	hard	skill-latex-research
research	latex		skill-latex-research
research	lean4	hard	skill-lean-research-hard
research	lean4:lake	hard	skill-lean-research-hard
research	lean4:lake		skill-lake-repair
research	lean4		skill-lean-research
research	lean4:version	hard	skill-lean-research-hard
research	lean4:version		skill-lean-version
research	memory	hard	skill-learn
research	memory		skill-learn
research	neovim	hard	skill-neovim-research
research	neovim		skill-neovim-research
research	nix	hard	skill-nix-research
research	nix		skill-nix-research
research	present:budget	hard	skill-budget
research	present:budget		skill-budget
research	present:funds	hard	skill-funds
research	present:funds		skill-funds
research	present:grant	hard	skill-grant
research	present:grant		skill-grant
research	present	hard	skill-grant
research	present		skill-grant
research	present:slides	hard	skill-slides
research	present:slides		skill-slides
research	present:timeline	hard	skill-timeline
research	present:timeline		skill-timeline
research	pr	hard	skill-researcher-hard
research	pr		skill-pr-review-research
research	python	hard	skill-python-research
research	python		skill-python-research
research	typst	hard	skill-typst-research
research	typst		skill-typst-research
research	web	hard	skill-web-research
research	web		skill-web-research
research	z3	hard	skill-z3-research
research	z3		skill-z3-research
